
> radioos@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:51397
- Network:       http://10.141.159.200:51397
- Environments: .env.local
✓ Ready in 1601ms
✓ Running next.config.ts took 161ms
 GET /login 200 in 1028ms (next.js: 139ms, proxy.ts: 16ms, application-code: 873ms)
 GET /login?verified=true 200 in 1076ms (next.js: 123ms, proxy.ts: 14ms, application-code: 939ms)
 GET /login 200 in 1101ms (next.js: 144ms, proxy.ts: 11ms, application-code: 945ms)
 GET /login?verified=true 200 in 1113ms (next.js: 148ms, proxy.ts: 15ms, application-code: 951ms)
 GET /login 200 in 1100ms (next.js: 131ms, proxy.ts: 16ms, application-code: 953ms)
 GET /login?verified=true 200 in 1090ms (next.js: 141ms, proxy.ts: 16ms, application-code: 933ms)
 GET /login 200 in 1092ms (next.js: 135ms, proxy.ts: 18ms, application-code: 939ms)
 GET /login?verified=true 200 in 1132ms (next.js: 173ms, proxy.ts: 18ms, application-code: 942ms)
 GET /login 200 in 1210ms (next.js: 197ms, proxy.ts: 24ms, application-code: 989ms)
 GET /login?verified=true 200 in 1193ms (next.js: 154ms, proxy.ts: 23ms, application-code: 1017ms)
 GET /login 200 in 1224ms (next.js: 159ms, proxy.ts: 17ms, application-code: 1048ms)
 GET /login?verified=true 200 in 1239ms (next.js: 135ms, proxy.ts: 14ms, application-code: 1090ms)
 GET /login 200 in 1222ms (next.js: 122ms, proxy.ts: 12ms, application-code: 1088ms)
 GET /login?verified=true 200 in 1241ms (next.js: 138ms, proxy.ts: 15ms, application-code: 1089ms)
 GET /login 200 in 1322ms (next.js: 179ms, proxy.ts: 17ms, application-code: 1125ms)
 GET /login?verified=true 200 in 1362ms (next.js: 233ms, proxy.ts: 25ms, application-code: 1104ms)
 GET /login 200 in 1322ms (next.js: 183ms, proxy.ts: 23ms, application-code: 1117ms)
 GET /login?verified=true 200 in 1347ms (next.js: 203ms, proxy.ts: 24ms, application-code: 1120ms)
 GET /login 200 in 1335ms (next.js: 179ms, proxy.ts: 34ms, application-code: 1122ms)
 GET /login?verified=true 200 in 1343ms (next.js: 119ms, proxy.ts: 16ms, application-code: 1209ms)
 GET /login 200 in 1405ms (next.js: 142ms, proxy.ts: 14ms, application-code: 1249ms)
